Id,모델명,배지,세부 배지,연식,모델연도,가격,주행거리,연료,변속기,등록 상태,판매 유형,마지막 수정일,판매지역,판매처,차량번호,내차피해,타차가해,소유자변경이력,내차피해금액,타차가해금액,번호판변경이력,전체침수횟수,일부침수횟수,모델 종류,시리즈_명
38990274,57,39,117,202201.0,2022,2100.0,26141.0,3,2,0,2,2025-02-14 17:08:49+09:00,7,1042,234마2447,2,1,0,249.0186,144.3082,0,0,0.0,쏘나타,5.0
38563035,21,105,74,201703.0,2018,1620.0,127333.0,7,2,0,2,2025-02-15 10:35:39+09:00,4,2604,33라7277,3,1,1,330.6329,104.4379,0,0,0.0,그랜저,8.0
38319035,16,183,6,200903.0,2009,230.0,170000.0,7,1,0,2,2025-02-15 12:01:12+09:00,2,3146,94두7023,4,7,5,603.0611,435.2942,0,0,0.0,스타렉스,1.0
38671833,90,393,90,202001.0,2020,2830.0,55297.0,7,2,0,2,2025-02-15 12:13:36+09:00,2,3628,130버3824,0,0,1,0.0,0.0,0,0,0.0,팰리세이드,9.0
39049435,22,454,0,201802.0,2018,1780.0,119000.0,6,2,0,2,2025-02-15 13:18:18+09:00,3,1030,168나3796,6,4,1,569.4839,355.6647,1,0,0.0,그랜저,8.0
39050104,17,108,23,199012.0,1990,1500.0,157000.0,3,2,0,2,2025-02-15 19:48:10+09:00,1,1030,대구29가1468,3,2,1,124.5756,104.902,0,0,0.0,그랜저,8.0
39050377,39,84,23,202405.0,2024,3200.0,824.0,3,1,0,2,2025-02-15 23:00:21+09:00,12,1030,239저6974,0,0,0,0.0,0.0,0,0,0.0,아반떼,2.0
39050820,19,274,23,201211.0,2012,550.0,150364.0,0,2,0,2,2025-02-16 13:49:10+09:00,7,1030,34우4343,2,1,4,117.4026,90.2646,1,0,0.0,그랜저,8.0
39049882,77,385,111,201902.0,2019,1690.0,73546.0,7,2,0,2,2025-02-16 14:30:19+09:00,11,3651,27버0708,1,1,1,411.1463,147.8518,0,0,0.0,투싼,4.0
39050894,16,183,7,200712.0,2008,450.0,314538.0,7,1,0,2,2025-02-16 15:10:01+09:00,10,1030,84더9327,5,9,4,693.9838,1628.3331,0,0,0.0,스타렉스,1.0
38712362,69,7,74,201612.0,2017,999.0,69335.0,3,2,0,2,2025-02-16 21:19:47+09:00,1,1774,28누7981,3,0,1,433.8071,0.0,0,0,0.0,아반떼,2.0
38712344,69,8,23,201705.0,2018,899.0,25103.0,3,2,0,2,2025-02-16 21:19:50+09:00,1,1774,372모9546,4,1,4,346.7759,36.0164,1,0,0.0,아반떼,2.0
38923799,34,451,41,201808.0,2019,1950.0,80058.0,7,2,0,2,2025-02-17 11:19:38+09:00,6,845,72더7444,3,1,4,146.3773,277.26,0,0,0.0,스타렉스,1.0
39059806,50,460,41,202212.0,2023,2690.0,11000.0,7,2,0,2,2025-02-17 16:42:29+09:00,12,2073,802소3630,2,1,0,78.8624,98.7684,0,0,0.0,스타리아,6.0
39060270,37,394,106,202012.0,2021,3000.0,72533.0,7,2,0,2,2025-02-17 17:10:35+09:00,1,3019,128누4329,1,1,0,466.219,111.496,0,0,0.0,싼타페,7.0
39060323,47,297,23,200912.0,2010,160.0,342820.0,1,2,0,2,2025-02-17 17:19:42+09:00,6,1554,17조5148,4,9,6,364.1236,544.9693,1,0,0.0,그랜저,8.0
39061169,75,430,23,202111.0,2022,1088.0,111285.0,6,2,0,0,2025-02-17 19:30:44+09:00,1,1030,176호7135,0,1,0,0.0,0.0,0,0,0.0,아반떼,2.0
38984544,50,262,41,202303.0,2023,2790.0,23620.0,1,2,0,2,2025-02-18 07:17:19+09:00,6,1965,701우6301,0,0,1,0.0,0.0,1,0,0.0,스타리아,6.0
38963824,19,269,23,201412.0,2015,990.0,121802.0,1,2,0,2,2025-02-18 10:55:41+09:00,6,1030,34누0142,1,1,4,42.0993,113.0,1,0,0.0,그랜저,8.0
39065328,54,409,23,201406.0,2015,830.0,338000.0,7,2,0,2,2025-02-18 12:08:06+09:00,2,1563,01구2825,0,2,2,0.0,242.9811,1,0,0.0,싼타페,7.0
38722593,16,183,62,201510.0,2016,899.0,158000.0,7,2,0,2,2025-02-18 12:31:48+09:00,8,747,90너9577,4,6,3,295.4401,690.7758,0,0,0.0,스타렉스,1.0
39067274,68,19,62,202010.0,2021,1120.0,130760.0,1,2,0,2,2025-02-18 14:52:52+09:00,8,735,322더3127,0,0,2,0.0,0.0,1,0,0.0,아반떼,2.0
38723150,36,426,23,202205.0,2022,1944.0,43900.0,6,2,0,0,2025-02-18 15:23:38+09:00,2,1030,157호6701,1,0,0,155.736,0.0,0,0,0.0,그랜저,8.0
