,Id,제조사,모델명,배지,세부 배지,연식,모델연도,가격,주행거리,연료,변속기,등록 상태,판매 유형,마지막 수정일,판매지역,판매처,차량번호,내차피해,타차가해,소유자변경이력,내차피해금액,타차가해금액,번호판변경이력,전체침수횟수,일부침수횟수,모델 종류
27447,39063714,현대,아반떼 (CN7),1.6,인스퍼레이션,202103.0,2021,2100.0,22776.0,가솔린,오토,ORIGINAL,일반,2025-03-20 14:02:01.000 +09,부산,신우모터스,238마2657,1,0,1,65.1469,0.0,1,0,,아반떼
9847,39142510,현대,싼타페 TM,디젤 2.0 2WD,프리미엄,202001.0,2020,1830.0,91691.0,디젤,오토,ORIGINAL,일반,2025-03-19 23:43:19.000 +09,경기,(주)왕카,137우9449,0,0,1,0.0,0.0,1,0,,싼타페
16597,35600425,제네시스,G90,3.8 AWD,프레스티지,201909.0,2019,4970.0,79216.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:13:02.000 +09,서울,(주)오토넷글로벌,113거2508,1,1,2,48.6529,89.3194,1,0,,제네시스
12124,38991331,현대,코나,디젤 1.6 2WD,모던 팝,201805.0,2018,1275.0,83989.0,디젤,오토,ORIGINAL,일반,2025-03-19 23:16:08.000 +09,부산,스타트 모터스,57누1892,6,5,6,944.2715,856.2688,0,0,,코나
6877,39236861,현대,더 뉴 팰리세이드,디젤 2.2 2WD,프레스티지,202211.0,2023,3999.0,38421.0,디젤,오토,ORIGINAL,일반,2025-03-19 19:33:53.000 +09,경기,카메이트,258주7432,0,1,1,0.0,40.5489,0,0,,팰리세이드
2794,38013449,현대,LF 쏘나타,2.4 익스클루시브,,201512.0,2015,1150.0,73000.0,가솔린,오토,ORIGINAL,일반,2025-03-19 15:45:03.000 +09,전북,GS카넷,07고4989,1,0,1,0.0,0.0,0,0,,쏘나타
25882,37591040,현대,더 뉴 그랜저 IG,3.0 LPi (택시형),고급형,202009.0,2020,1590.0,146257.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-19 10:07:25.000 +09,대구,현대모터스,271무7038,5,0,1,351.7055,0.0,1,0,,그랜저
23816,39158045,현대,더 뉴 그랜저 IG 하이브리드,캘리그래피,,202101.0,2021,2730.0,127228.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-19 22:24:48.000 +09,광주,(주)자동차이야기,141조5922,0,0,1,0.0,0.0,1,0,,그랜저
4144,39102178,현대,뉴 투싼 ix,디젤(e-VGT) 2WD,모던,201403.0,2014,800.0,157328.0,디젤,오토,ORIGINAL,일반,2025-03-19 23:15:08.000 +09,경기,드림모터스,17누1023,1,0,0,72.686,0.0,0,0,,투싼
24949,39170347,현대,그랜저 하이브리드 (GN7),프리미엄,,202302.0,2023,3650.0,29966.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-19 17:50:35.000 +09,경기,(주)하나오토,206거4141,0,0,1,0.0,0.0,0,0,,그랜저
